_id,CREATIONDATE,OBJECTDESC,TITLE,CLOSEDDATETIME,CASECLOSUREREASONDESCRIPTION
1,2025-07-31 00:00:00,"8132 W HOLT AV, MILWAUKEE, WI, 53219-3848",Missed Collection: Recycling,2025-08-01 00:00:00,There was a car parked in front of my house causing both of my recycling bins which are both full to the top to be missed
2,2025-07-31 00:00:00,"4421 N 62ND ST, MILWAUKEE, WI, 53218-5545",Private Tree Problems or Questions,2025-07-31 00:00:00,Our neighbor's evergreen trees are protruding through our backyard fence and I asked him to trim or remove them.  The trees are over seven feet tall.  His name is Doug Jones and he live at 4421 N. 62nd street.  Doug's phone number is 414 461-9696.  He has made promises to manage the trees but he has not done so nor has he kept his promises.  He is currently trying to sale his home and move out of town.  My name is David Fayne and you can reach me at 414 466-2445 or 414 350-0979.
3,2025-07-31 00:00:00,"3051 N BUFFUM ST, MILWAUKEE, WI, 53212-2112",Large Items Discarded on Private Property,2025-08-01 00:00:00,BRUSH IN YARD
4,2025-07-31 00:00:00,"2741 S 49TH ST, MILWAUKEE, WI, 53219-3256","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
5,2025-07-31 00:00:00,"3404 W SCOTT ST, MILWAUKEE, WI, 53215-1502",Recycling Cart: Damaged,,One of the recycling carts are damaged
6,2025-07-31 00:00:00,"2841 N HUBBARD ST, MILWAUKEE, WI, 53212-2432",Large Items Discarded on Private Property,,WOOD AND BRUSH ON PROPERTY
7,2025-07-31 00:00:00,"2222 W BECHER ST, MILWAUKEE, WI, 53215-2561",Garbage Cart Collection Request: Cart Not at Collection Point,2025-07-31 00:00:00,
8,2025-07-31 00:00:00,924 E WELLS ST,Other Miscellaneous Electrical Services Request,2025-07-31 00:00:00,"At the northwest corner of E. Wells and N. Prospect, the street light head has broken off its post and is dangling by the wires now."
9,2025-07-31 00:00:00,"2337 N 15TH ST, MILWAUKEE, WI, 53206-2006",Large Items Discarded on Private Property,,BRUSH
10,2025-07-31 00:00:00,"2633 N 20TH ST, MILWAUKEE, WI, 53206-1502",Large Items Discarded on Private Property,,BRUSH ON PROPERTY
11,2025-07-31 00:00:00,"4421 N 62ND ST, MILWAUKEE, WI, 53218-5545",Private Tree Problems or Questions,2025-07-31 00:00:00,Our neighbor's evergreen trees are protruding through our backyard fence and I asked him to trim or remove them. The trees are over seven feet tall. His name is Doug Jones and he live at 4421 N. 62nd street. Doug's phone number is 414 461-9696. He has made promises to manage the trees but he has not done so nor has he kept his promises. He is currently trying to sale his home and move out of town. My name is David Fayne and you can reach me at 414 466-2445 or 414 350-0979.
12,2025-07-31 00:00:00,"2447 N 6TH ST, MILWAUKEE, WI, 53212-2705",Broken Branch Down - Blocking Driveway,2025-07-31 00:00:00,Operator contacted A. Unger.
13,2025-07-31 00:00:00,"715 E POTTER AV, MILWAUKEE, WI, 53207-2118","Brush Pickup Request, Less than 2 Cubic Yards, April-November",2025-08-01 00:00:00,
14,2025-07-31 00:00:00,"2483 S 6TH ST, MILWAUKEE, WI, 53215-3224",Scattered Litter and Debris on Private Property,,SCATTERED DEBRIS AND GARBAGE BAGS ON PROPERTY AND NEEDS TO BE REMOVE.
15,2025-07-31 00:00:00,1734 E NORTH AV,Settlement,,2 areas of pavement settlement getting very deep. Located in westbound traffic lane.
16,2025-07-31 00:00:00,"1311 S 12TH ST, MILWAUKEE, WI, 53204-2702",Scattered Litter and Debris on Private Property,,WOOD AND FENCING ON CURB AND ON PROPERTY IN THE FRONT AND NEEDS TO BE REMOVED.
17,2025-07-31 00:00:00,"2977 S 43RD ST, MILWAUKEE, WI, 53219-3402",Scattered Litter and Debris on Private Property,,"CONSTRUCTIONAL MATERIAL BEHIND PROPERTY, NEEDS TO BE REMOVED."
