_id,CREATIONDATE,ADDRESS,CATEGORY,CLOSEDDATETIME,DESCRIPTION,DAYS_TO_CLOSE,CLEANED_ADDRESS,geometry,OBJECTID,NEIGHBORHD,WORKGROUP,Status
1,2025-07-31T00:00:00Z,"8132 W HOLT AV, MILWAUKEE, WI, 53219-3848",MISSED COLLECTION: RECYCLING,2025-08-01T00:00:00Z,THERE WAS A CAR PARKED IN FRONT OF MY HOUSE CAUSING BOTH OF MY RECYCLING BINS WHICH ARE BOTH FULL TO THE TOP TO BE MISSED,1,"8132 W HOLT AV, MILWAUKEE, WI, 53219-3848","c(-88.014813330031, 42.983037639867)",65,HIGHWOOD ESTATES,6,CLOSED
2,2025-07-31T00:00:00Z,"4421 N 62ND ST, MILWAUKEE, WI, 53218-5545",PRIVATE TREE PROBLEMS OR QUESTIONS,2025-07-31T00:00:00Z,OUR NEIGHBOR'S EVERGREEN TREES ARE PROTRUDING THROUGH OUR BACKYARD FENCE AND I ASKED HIM TO TRIM OR REMOVE THEM.  THE TREES ARE OVER SEVEN FEET TALL.  HIS NAME IS DOUG JONES AND HE LIVE AT 4421 N. 62ND STREET.  DOUG'S PHONE NUMBER IS 414 461-9696.  HE HAS MADE PROMISES TO MANAGE THE TREES BUT HE HAS NOT DONE SO NOR HAS HE KEPT HIS PROMISES.  HE IS CURRENTLY TRYING TO SALE HIS HOME AND MOVE OUT OF TOWN.  MY NAME IS DAVID FAYNE AND YOU CAN REACH ME AT 414 466-2445 OR 414 350-0979.,0,"4421 N 62ND ST, MILWAUKEE, WI, 53218-5545","c(-87.989704752336, 43.09778233203)",19,CAPITOL HEIGHTS,4,CLOSED
3,2025-07-31T00:00:00Z,"3051 N BUFFUM ST, MILWAUKEE, WI, 53212-2112",LARGE ITEMS DISCARDED ON PRIVATE PROPERTY,2025-08-01T00:00:00Z,BRUSH IN YARD,1,"3051 N BUFFUM ST, MILWAUKEE, WI, 53212-2112","c(-87.906758947255, 43.074054379516)",57,HARAMBEE,3,CLOSED
4,2025-07-31T00:00:00Z,"2741 S 49TH ST, MILWAUKEE, WI, 53219-3256","BRUSH PICKUP REQUEST, LESS THAN 2 CUBIC YARDS, APRIL-NOVEMBER",NA,NA,6,"2741 S 49TH ST, MILWAUKEE, WI, 53219-3256","c(-87.975531624619, 42.994700555221)",73,JACKSON PARK,6,OPEN
5,2025-07-31T00:00:00Z,"3404 W SCOTT ST, MILWAUKEE, WI, 53215-1502",RECYCLING CART: DAMAGED,NA,ONE OF THE RECYCLING CARTS ARE DAMAGED,6,"3404 W SCOTT ST, MILWAUKEE, WI, 53215-1502","c(-87.956738894785, 43.019193188762)",148,SILVER CITY,5,OPEN
6,2025-07-31T00:00:00Z,"2841 N HUBBARD ST, MILWAUKEE, WI, 53212-2432",LARGE ITEMS DISCARDED ON PRIVATE PROPERTY,NA,WOOD AND BRUSH ON PROPERTY,6,"2841 N HUBBARD ST, MILWAUKEE, WI, 53212-2432","c(-87.908700866582, 43.070316679343)",57,HARAMBEE,3,OPEN
7,2025-07-31T00:00:00Z,"2222 W BECHER ST, MILWAUKEE, WI, 53215-2561",GARBAGE CART COLLECTION REQUEST: CART NOT AT COLLECTION POINT,2025-07-31T00:00:00Z,NA,0,"2222 W BECHER ST, MILWAUKEE, WI, 53215-2561","c(-87.94159430449, 43.006894170775)",116,MUSKEGO WAY,5,CLOSED
8,2025-07-31T00:00:00Z,924 E WELLS ST,OTHER MISCELLANEOUS ELECTRICAL SERVICES REQUEST,2025-07-31T00:00:00Z,"AT THE NORTHWEST CORNER OF E. WELLS AND N. PROSPECT, THE STREET LIGHT HEAD HAS BROKEN OFF ITS POST AND IS DANGLING BY THE WIRES NOW.",0,"924 E WELLS ST, MILWAUKEE, WI","c(-87.899716975121, 43.041777849682)",76,JUNEAU TOWN,6,CLOSED
9,2025-07-31T00:00:00Z,"2337 N 15TH ST, MILWAUKEE, WI, 53206-2006",LARGE ITEMS DISCARDED ON PRIVATE PROPERTY,NA,BRUSH,6,"2337 N 15TH ST, MILWAUKEE, WI, 53206-2006","c(-87.931652277676, 43.061291884194)",120,NORTH DIVISION,2,OPEN
10,2025-07-31T00:00:00Z,"2633 N 20TH ST, MILWAUKEE, WI, 53206-1502",LARGE ITEMS DISCARDED ON PRIVATE PROPERTY,NA,BRUSH ON PROPERTY,6,"2633 N 20TH ST, MILWAUKEE, WI, 53206-1502","c(-87.937857903511, 43.066777965551)",128,AMANI,2,OPEN
